Gene	Symbol	nTx	tTx	Score	Sign
2823	GPM6A	uc003iuh.2	uc003iug.2	0.279179891373081	Mutual exclusion
2040	STOM	uc004blh.2	uc004bli.2	0.278602504850586	Mutual exclusion
9609	RAB36	uc002zwv.1	uc010gtw.1	0.278331998477086	Mutual exclusion
2819	GPD1	uc001rvz.2	uc001rwa.2	0.277303664993107	Mutual exclusion
780	DDR1	uc003nrr.2	uc003nrv.2	0.277229913251116	Mutual exclusion
2185	PTK2B	uc003xfp.1	uc003xfq.1	0.277155161942702	Mutual exclusion
8045	RASSF7	uc001lqc.2	uc001lqb.2	0.276811150914735	Mutual exclusion
29995	LMCD1	uc003bqq.2	uc011atd.1	0.276448620824167	Mutual exclusion
122769	PPIL5	uc001wwn.2	uc001wwo.2	0.274776286658637	Mutual exclusion
11320	MGAT4A	uc002sze.2	uc010yvm.1	0.272539081911516	Mutual exclusion
57520	HECW2	uc002utm.1	uc002utl.1	0.27216997526147	Mutual exclusion
2117	ETV3	uc001fqr.2	uc001fqt.2	0.272137154847611	Mutual exclusion
5909	RAP1GAP	uc001bew.2	uc001bex.2	0.270682965125545	Mutual exclusion
64218	SEMA4A	uc001fnm.2	uc001fnn.2	0.270443058161938	Mutual exclusion
9521	EEF1E1	uc003mxz.2	uc011dic.1	0.26951810037617	Mutual exclusion
3557	IL1RN	uc002tjb.2	uc002tja.2	0.269293500652174	Mutual exclusion
83715	ESPN	uc001amz.2	uc001amy.2	0.268294970014245	Mutual exclusion
56931	DUS3L	uc002mdc.2	uc002mdd.2	0.267691458643632	Mutual exclusion
26146	TRAF3IP1	uc002vyf.2	uc002vye.2	0.266921126083137	Mutual exclusion
84975	MFSD5	uc001sci.1	uc001sch.1	0.266637317416259	Mutual exclusion
25793	FBXO7	uc003amu.2	uc003amt.2	0.266478253439208	Mutual exclusion
28232	SLCO3A1	uc002bqy.2	uc002bqx.2	0.265871297963634	Mutual exclusion
80301	PLEKHO2	uc002anv.2	uc002anw.2	0.264959090519088	Mutual exclusion
57580	PREX1	uc002xtw.1	uc002xtv.1	0.263584041609179	Mutual exclusion
10048	RANBP9	uc003nbb.2	uc003nba.2	0.262836684962794	Mutual exclusion
